epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.667,0.86403,1.18107,1.16997,0.72747,0.72646,0.75546,0.50774,1.207,0.97623,1.58198,0.070052,0.00332756,0.00332756
2,358.835,0.73277,0.77604,1.07724,0.6491,0.76975,0.80318,0.56646,1.03906,0.95843,1.43058,0.0397882,0.00639712,0.00639712
3,532.418,0.77897,0.82032,1.10754,0.64436,0.7222,0.75109,0.51471,1.21235,1.07238,1.67227,0.00926045,0.00920268,0.00920268
4,706.244,0.81928,0.87486,1.13481,0.79623,0.65109,0.76274,0.53533,1.16633,0.92418,1.57344,0.008812,0.008812,0.008812
5,877.637,0.77504,0.8124,1.11234,0.81355,0.73373,0.82555,0.58287,1.11667,0.81569,1.49884,0.008416,0.008416,0.008416
6,1050.06,0.73175,0.74206,1.08247,0.74613,0.78743,0.83705,0.59981,1.07268,0.79116,1.40341,0.00802,0.00802,0.00802
7,1221.89,0.70172,0.70281,1.06898,0.78029,0.75272,0.82884,0.60687,1.00853,0.71712,1.35747,0.007624,0.007624,0.007624
8,1394.22,0.6774,0.66237,1.05606,0.81772,0.81838,0.87539,0.63287,1.06938,0.68676,1.43982,0.007228,0.007228,0.007228
9,1565.79,0.6524,0.63008,1.04522,0.8,0.77423,0.85482,0.62944,0.99908,0.69447,1.35405,0.006832,0.006832,0.006832
10,1740.19,0.63191,0.60651,1.03242,0.82559,0.76726,0.85097,0.62186,1.03967,0.70163,1.41022,0.006436,0.006436,0.006436
11,1912.44,0.61621,0.58066,1.02304,0.84993,0.77621,0.87295,0.66612,0.98937,0.64217,1.3517,0.00604,0.00604,0.00604
12,2085.36,0.60426,0.55264,1.01601,0.76356,0.86505,0.87609,0.65722,0.98547,0.66336,1.32123,0.005644,0.005644,0.005644
13,2258.02,0.58188,0.53299,1.00675,0.83965,0.79253,0.88567,0.66773,0.95776,0.60927,1.34099,0.005248,0.005248,0.005248
14,2429.91,0.56983,0.51635,1.00017,0.82414,0.7917,0.8816,0.67179,0.94519,0.65095,1.32679,0.004852,0.004852,0.004852
15,2603.61,0.55316,0.49418,0.99404,0.8296,0.7624,0.87423,0.6695,0.92628,0.63446,1.29344,0.004456,0.004456,0.004456
16,2776.84,0.53351,0.41675,0.96418,0.81261,0.84209,0.88811,0.67656,0.91163,0.62219,1.28802,0.00406,0.00406,0.00406
17,2950.26,0.51722,0.40148,0.95486,0.85981,0.78859,0.88542,0.68016,0.93007,0.58905,1.30675,0.003664,0.003664,0.003664
18,3122.22,0.50691,0.38413,0.9486,0.84997,0.84962,0.89313,0.68228,0.92617,0.59669,1.30088,0.003268,0.003268,0.003268
19,3292.39,0.48532,0.3556,0.93941,0.85139,0.81375,0.89663,0.69829,0.91144,0.59943,1.28488,0.002872,0.002872,0.002872
20,3465.7,0.47627,0.34368,0.93229,0.84892,0.80765,0.89182,0.6952,0.87484,0.5753,1.26113,0.002476,0.002476,0.002476
21,3636.72,0.46216,0.32749,0.92592,0.85511,0.84748,0.8952,0.6906,0.87796,0.57607,1.26233,0.00208,0.00208,0.00208
22,3808.34,0.44531,0.30895,0.91842,0.82906,0.85551,0.89296,0.69877,0.869,0.57431,1.24669,0.001684,0.001684,0.001684
23,3980.15,0.43143,0.29071,0.9122,0.85416,0.81884,0.8926,0.70798,0.86139,0.58454,1.24942,0.001288,0.001288,0.001288
24,4152.03,0.41949,0.2791,0.9042,0.85337,0.8484,0.88944,0.70583,0.85097,0.58383,1.22837,0.000892,0.000892,0.000892
25,4322.27,0.40666,0.26142,0.89928,0.85281,0.85385,0.88637,0.70397,0.85267,0.57129,1.23718,0.000496,0.000496,0.000496
